"Gene_name","log2FoldChange","pvalue","padj","Comparison","neg_log10_pvalue"
"PTCHD4",1.50809765996448,1.89498932516743e-06,1.41639347381283e-05,"WI38_HRAS",5.72239323215181
"MCM8",-1.26282803208006,1.37197228294943e-05,8.505326529566e-05,"WI38_HRAS",4.86265466230544
"PURPL",1.46721127717376,0.00158658389919474,0.00573073699390061,"WI38_HRAS",2.79953695728945
"MCM9",-0.822855808591378,0.0028492636609929,0.00945577972513623,"WI38_HRAS",2.54526736079347
"MCMDC2",-1.32341679385776,0.0278289966789148,0.0642120347340635,"WI38_HRAS",1.55550245103806
"MCM3AP",0.186855741784415,0.413016507250229,0.537952693829547,"WI38_HRAS",0.384032590318369
"MCMBP",-0.058766412336651,0.787661516326642,0.853645606971526,"WI38_HRAS",0.103660372831134
"MKI67",-4.53182468768133,1.46757703729211e-91,2.78512254515644e-88,"WI38_IR",90.8333990921296
"PTCHD4",4.02813341837578,1.4269635484706e-58,7.18461585802414e-56,"WI38_IR",57.8455871207188
"GDF15",2.6821608281177,1.42877292794418e-28,1.96923222934697e-26,"WI38_IR",27.845036787288
"PURPL",3.77797101235086,6.11279597773782e-20,4.80282769320923e-18,"WI38_IR",19.2137600990935
"MCM5",-2.25020915108248,1.31129359851664e-18,9.59968082166291e-17,"WI38_IR",17.8823000589277
"MCM10",-2.74425943353644,8.55734868069851e-17,5.44119456962662e-15,"WI38_IR",16.0676607717365
"LMNB1",-2.71329432806712,1.11001982954336e-14,6.00554807339128e-13,"WI38_IR",13.9546692628491
"MCM7",-1.5511742936816,1.1735083373986e-11,4.57371630204752e-10,"WI38_IR",10.9305138205321
"MCM6",-1.348925413887,2.54246315578144e-11,9.4894264018584e-10,"WI38_IR",10.5947453319575
"MCM3",-1.11810132802827,1.99098707764385e-07,4.09139745934535e-06,"WI38_IR",6.70093155872005
"MCM4",-1.24360637177601,1.39617130624166e-06,2.41042283389e-05,"WI38_IR",5.85506129174788
"MCM2",-1.81741564589365,4.46915463028679e-06,6.86968933855486e-05,"WI38_IR",5.34977461872999
"CDKN1A",0.911438316946382,3.62616036308699e-05,0.000448876077861109,"WI38_IR",4.44055299360406
"MCMBP",-0.408505232386834,0.0558189374105937,0.17847857933375,"WI38_IR",1.25321843515495
"MCM3AP",-0.366922187303996,0.0738018607433994,0.217611313259872,"WI38_IR",1.131932688307
"MCM8",-0.623529484448845,0.156180038754719,0.361320117790479,"WI38_IR",0.806374473740707
"CDKN2A",-0.0600976102253552,0.785865378851376,0.910710940472378,"WI38_IR",0.104651843565357
"MCMDC2",-0.151106481630256,0.83614799563416,0.934675849271525,"WI38_IR",0.0777168469643294
"MCM9",-0.028032811468562,0.921461374078003,0.970036196779332,"WI38_IR",0.035522864868527
"PURPL",3.51290852632331,1.93156103227092e-63,1.46159225145355e-60,"WI38_RE",62.7140915647339
"MKI67",-3.00158659541546,1.36870814059747e-35,2.70584967903342e-33,"WI38_RE",34.8636891497048
"PTCHD4",2.40331141381416,6.54499467331115e-33,1.12205752430578e-30,"WI38_RE",32.1840907025666
"LMNB1",-3.00120637745759,1.19314808823876e-20,9.05966839041913e-19,"WI38_RE",19.9233056502831
"MCM10",-2.69360588446606,1.59840838881185e-12,5.23514532598316e-11,"WI38_RE",11.7963122498356
"MCM6",-0.844656750079608,4.31064788204401e-05,0.000384211442419065,"WI38_RE",4.36545745131241
"MCM7",-0.7265824704742,0.000609479235890317,0.00387292273626251,"WI38_RE",3.21504108560239
"MCM9",-0.767532589460477,0.000780796434715104,0.00475806636028555,"WI38_RE",3.1074621784191
"GDF15",0.737579629777796,0.00127859107925304,0.00719974407060011,"WI38_RE",2.89326832996996
"MCM3",-0.637123336360142,0.00159176319178135,0.00863740145411718,"WI38_RE",2.79812154222171
"MCMBP",-0.583288031639947,0.00284099375312986,0.013975065437947,"WI38_RE",2.54652972121695
"MCM4",-0.582946030065242,0.00606745098651533,0.0261118149535384,"WI38_RE",2.21699372325675
"MCM2",-1.17835760307584,0.0129454648555106,0.0479694834159616,"WI38_RE",1.88788234997547
"CDKN1A",0.306127661783938,0.171084125216504,0.33920040149539,"WI38_RE",0.766790286488847
"MCMDC2",-0.33109976367267,0.343052643473242,0.540761957357721,"WI38_RE",0.464639229765879
"MCM5",0.163619270179525,0.575051466418214,0.745535234496118,"WI38_RE",0.240293284734397
"CDKN2A",0.0424374133449714,0.844019896648495,0.921726515977634,"WI38_RE",0.0736473153378534
"MCM3AP",-0.02301259078801,0.907754854117817,0.953974299147055,"WI38_RE",0.042031420067567
"MCM8",0.0256784256292246,0.929487915285362,0.965249293124887,"WI38_RE",0.0317562523245737
