"Gene_name","log2FoldChange","pvalue","padj","Comparison"
"NIBAN1",-1.30147703414482,6.23373553781319e-31,1.17696723139016e-29,"IMR90_RE"
"H1-4",-1.09187920918439,4.5285587934583e-24,6.49460930311978e-23,"IMR90_RE"
"CDKN2C",-1.35311901952349,2.98726426991691e-18,3.23925025274055e-17,"IMR90_RE"
"H3C11",-1.25097919750972,2.1982302317235e-17,2.29494457023044e-16,"IMR90_RE"
"ITPRIPL1",-2.39419775678137,5.0583495370992e-17,5.16197012311254e-16,"IMR90_RE"
"GLUL",-0.640657009219551,3.82022069520897e-15,3.52726725083107e-14,"IMR90_RE"
"CBX2",-1.66899969479138,1.00162747071649e-14,9.02882482497802e-14,"IMR90_RE"
"H2AC20",-0.816605485063476,1.65379719392453e-14,1.47272952684972e-13,"IMR90_RE"
"H1-1",-1.40711676760556,2.16018785279051e-13,1.79353440363999e-12,"IMR90_RE"
"CDCA7L",-0.703389269915024,3.13533304185261e-10,2.05730583305968e-09,"IMR90_RE"
"PHB2",-0.536740781726124,4.98884662641197e-10,3.21972591230198e-09,"IMR90_RE"
"H2BC9",-0.743381352648139,1.76497529336416e-07,8.98813763508532e-07,"IMR90_RE"
"VSIG10",-0.6915400712227,8.28212577229651e-07,3.91792269770373e-06,"IMR90_RE"
"HNRNPH1",-0.338943137510338,4.66057141607482e-06,2.01832465129518e-05,"IMR90_RE"
"PARP1",-0.395687540080483,5.8793676512373e-06,2.51288844487765e-05,"IMR90_RE"
"PTMA",-0.952435185008931,1.13984611932096e-05,4.6848411145229e-05,"IMR90_RE"
"H1-3",-0.946567880209227,0.00121847635117209,0.00362420578927897,"IMR90_RE"
"EML4",-0.274424735542941,0.00127834110328352,0.00378744516744244,"IMR90_RE"
"LIG3",-0.317491564634294,0.00314035548495555,0.00861522834928486,"IMR90_RE"
"H1-3",-4.7204121828142,4.92239680556731e-08,8.10496074021446e-06,"WI38_Dox"
"SLFN11",-1.56768840111113,3.33752988528431e-07,3.96234985779977e-05,"WI38_Dox"
"H1-4",-2.83683838049692,1.46637830397522e-06,0.000142326163665132,"WI38_Dox"
"ITPRIPL1",-2.04523815601384,3.76613510179648e-06,0.000307312180489363,"WI38_Dox"
"PHB2",-0.615836372543816,8.71352945778514e-06,0.000587886955759153,"WI38_Dox"
"H3C11",-3.53584961852829,3.29730718244653e-05,0.00165535592161227,"WI38_Dox"
"PTMA",-1.18669817025781,3.54201591431818e-05,0.00175275928840554,"WI38_Dox"
"CBX2",-2.69204038854249,5.79051829904847e-05,0.0025546621561129,"WI38_Dox"
